region,division,classification,position,status,item_status,year_created,number
Region I - Ilocos,Division of La Union,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,70
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher III,Filled,Regular,2017,70
Region III - Central Luzon,Division of Nueva Ecija,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,70
Region I - Ilocos,Division of Pangasinan II,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,70
Region I - Ilocos,Division of Dagupan City,Teaching Personnel,Teacher III,Filled,Regular,2023,70
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Master Teacher I,Filled,Regular,2021,70
Region II - Cagayan Valley,Division of Cauayan City,Teaching Personnel,Teacher III,Filled,Regular,2022,70
Region XII - SOCCSKSARGEN,Division of Cotabato,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,70
Region XI - Davao,Division of Panabo City,Teaching Personnel,Teacher II,Filled,Regular,2022,70
Region XI - Davao,Division of Davao Oriental,Teaching Personnel,Teacher III,Filled,Regular,2023,70
Region XI - Davao,Division of Davao Oriental,Teaching Personnel,Teacher III,Filled,Regular,2024,70
Region XI - Davao,Division of Davao del Sur,Teaching Personnel,Master Teacher I,Filled,Regular,1998,70
Region XIII - CARAGA,Division of Surigao del Norte,Teaching Personnel,Teacher III,Filled,Regular,2021,70
Region XI - Davao,Division of Davao de Oro,Teaching Personnel,Teacher III,Filled,Regular,1998,70
Region XIII - CARAGA,Division of Surigao City,Teaching Personnel,Teacher III,Filled,Regular,2023,70
Region XII - SOCCSKSARGEN,Division of General Santos City,Teaching Personnel,Teacher VI,Filled,Regular,2025,70
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher II,Filled,Regular,2023,70
Region XIII - CARAGA,Division of Butuan City,Teaching Personnel,Teacher III,Filled,Regular,2010,70
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher II,Filled,Regular,2022,70
Region VI - Western Visayas,Division of Antique,Teaching Personnel,Teacher III,Filled,Regular,2016,70
Region IVA - CALABARZON,Division of Lipa City,Teaching Personnel,Teacher III,Filled,Regular,2016,70
Region IVB - MIMAROPA,Division of Palawan,Teaching Personnel,Teacher II,Filled,Regular,2025,70
Region X - Northern Mindanao,Division of Misamis Oriental,Teaching Personnel,Teacher VI,Filled,Regular,2025,70
Region VIII - Eastern Visayas,Division of Leyte,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,70
Region VII - Central Visayas,Division of Cebu Province,School Head Personnel,School Principal I,Filled,Regular,2014,70
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher III,Filled,Regular,2018,70
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Teaching Personnel,Teacher II,Filled,Regular,2023,70
Region VI - Western Visayas,Division of Capiz,Teaching Personnel,Teacher III,Filled,Regular,2019,70
Region IVB - MIMAROPA,Division of Puerto Princesa City,Teaching Personnel,Teacher I,Filled,Regular,2024,70
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Teaching Personnel,Teacher III,Filled,Regular,2017,70
Region IX - Zamboanga Peninsula,Division of Dipolog City,Teaching Personnel,Teacher VI,Filled,Regular,2026,70
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,70
Region IVB - MIMAROPA,Division of Puerto Princesa City,Teaching Personnel,Teacher III,Filled,Regular,1998,70
Region VIII - Eastern Visayas,Division of Samar,Teaching Personnel,Teacher II,Filled,Regular,2023,70
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Master Teacher I,Filled,Regular,2021,70
Region V - Bicol,Division of Camarines Norte,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,70
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2023,70
Region IX - Zamboanga Peninsula,Division of Dipolog City,Teaching Personnel,Teacher III,Filled,Regular,2024,70
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Nurse II,Filled,Regular,2021,70
Region VIII - Eastern Visayas,Division of Tacloban City,Teaching Personnel,Teacher II,Filled,Regular,2017,70
Region X - Northern Mindanao,Division of Misamis Oriental,Teaching Personnel,Master Teacher II,Filled,Regular,1998,70
Region VI - Western Visayas,Division of Guimaras,Teaching Personnel,Teacher IV,Filled,Regular,2026,70
Region VIII - Eastern Visayas,Division of Leyte,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2004,70
Region VI - Western Visayas,Division of Guimaras,Teaching Personnel,Teacher III,Filled,Regular,2024,69
Region VII - Central Visayas,Division of Bohol,Teaching Personnel,Master Teacher I,Filled,Regular,2000,69
Region VIII - Eastern Visayas,Division of Northern Samar,Teaching Personnel,Master Teacher I,Filled,Regular,2022,69
Region V - Bicol,Division of Camarines Sur,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2004,69
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher I,Filled,Regular,2016,69
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher II,Filled,Regular,1998,69
Region VIII - Eastern Visayas,Division of Southern Leyte,School Head Personnel,School Principal I,Unfilled,Regular,2026,69
Region IX - Zamboanga Peninsula,Division of Dipolog City,Teaching Personnel,Teacher I,Filled,Regular,2024,69
Region VII - Central Visayas,Division of Cebu City,Teaching Personnel,Teacher IV,Filled,Regular,2025,69
Region X - Northern Mindanao,Division of Cagayan de Oro City,Teaching Personnel,Teacher V,Filled,Regular,2025,69
Region V - Bicol,Division of Catanduanes,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2026,69
Region VI - Western Visayas,Division of Antique,Teaching Personnel,Teacher II,Filled,Regular,2022,69
Region VI - Western Visayas,Division of Aklan,Teaching Personnel,Teacher III,Filled,Regular,2012,69
Region IVA - CALABARZON,Division of Quezon,Non-Teaching Personnel,Nurse II,Filled,Regular,2021,69
Region VI - Western Visayas,Division of Guimaras,Teaching Personnel,Teacher III,Filled,Regular,2023,69
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Filled,Regular,2016,69
Region IVB - MIMAROPA,Division of Occidental Mindoro,Teaching Personnel,Teacher VI,Filled,Regular,2026,69
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher I,Filled,Regular,2011,69
Region VII - Central Visayas,Division of Cebu City,Teaching Personnel,Teacher III,Filled,Regular,2010,69
Region X - Northern Mindanao,Division of Bukidnon,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2020,69
Region III - Central Luzon,Division of Mabalacat City,Teaching Personnel,Teacher III,Filled,Regular,2022,69
National Capital Region (NCR),Division of San Juan City,Teaching Personnel,Teacher I,Filled,Regular,1998,69
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher III,Filled,Regular,2021,69
National Capital Region (NCR),Division of Mandaluyong,Teaching Personnel,Teacher I,Filled,Regular,2002,69
National Capital Region (NCR),Division of Muntinlupa,Teaching Personnel,Teacher I,Filled,Regular,2025,69
Region I - Ilocos,Division of Pangasinan I,Teaching Personnel,Teacher I,Filled,Regular,2015,69
Region III - Central Luzon,Division of Bataan,Teaching Personnel,Teacher II,Filled,Regular,2025,69
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Teacher III,Filled,Regular,2025,69
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher III,Filled,Regular,2010,69
Region IVA - CALABARZON,Division of Batangas City,Teaching Personnel,Master Teacher I,Filled,Regular,1998,69
Region IVA - CALABARZON,Division of Batangas,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,69
Negros Island Region (NIR),Division of Negros Occidental,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,69
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher III,Filled,Regular,2008,69
Region III - Central Luzon,Division of Bulacan,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,69
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher III,Filled,Regular,2010,69
Negros Island Region (NIR),Division of Negros Oriental,Teaching Personnel,Teacher I,Filled,Regular,2017,69
Region II - Cagayan Valley,Division of Nueva Vizcaya,Teaching Personnel,Teacher III,Filled,Regular,2013,69
Region IVA - CALABARZON,Division of Antipolo City,Teaching Personnel,Teacher V,Filled,Regular,2025,69
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher V,Filled,Regular,2026,69
Negros Island Region (NIR),Division of Kabankalan City,Teaching Personnel,Teacher II,Filled,Regular,2017,69
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher II,Filled,Regular,2016,69
Region XIII - CARAGA,Division of Dinagat Island,Teaching Personnel,Teacher I,Filled,Regular,2015,69
Region XIII - CARAGA,Division of Cabadbaran City,Teaching Personnel,Teacher III,Filled,Regular,2024,69
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher II,Filled,Regular,2018,69
Region XI - Davao,Division of Davao del Sur,Teaching Personnel,Teacher II,Filled,Regular,2012,69
Region XIII - CARAGA,Division of Butuan City,Teaching Personnel,Master Teacher I,Filled,Regular,1998,69
Region XII - SOCCSKSARGEN,Division of Cotabato,School Head Personnel,School Principal I,Filled,Regular,2014,69
Region XIII - CARAGA,Division of Butuan City,Teaching Personnel,Teacher III,Filled,Regular,2018,69
Region XIII - CARAGA,Division of Butuan City,Teaching Personnel,Teacher III,Filled,Regular,2016,69
Region XI - Davao,Division of Davao del Norte,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,69
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher III,Filled,Regular,2020,69
Region XII - SOCCSKSARGEN,Division of South Cotabato,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,68
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2016,68
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2017,68
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher I,Filled,Regular,2007,68
Region IVA - CALABARZON,Division of Lipa City,Teaching Personnel,Teacher II,Filled,Regular,2022,68
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Teacher II,Filled,Regular,1998,68
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Filled,Regular,2023,68
Region IVB - MIMAROPA,Division of Oriental Mindoro,Teaching Personnel,Teacher II,Filled,Regular,2016,68
Region VI - Western Visayas,Division of Guimaras,Teaching Personnel,Teacher II,Filled,Regular,1998,68
Region IX - Zamboanga Peninsula,Division of Dapitan City,Teaching Personnel,Teacher III,Filled,Regular,2025,68
Region XI - Davao,Division of Davao City,Teaching Personnel,Master Teacher I,Filled,Regular,2024,68
Region V - Bicol,Division of Sorsogon,Teaching Personnel,Teacher II,Filled,Regular,2019,68
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher IV,Filled,Regular,2026,68
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Unfilled,Regular,1998,68
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Teaching Personnel,Teacher II,Filled,Regular,2021,68
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher III,Filled,Regular,2017,68
Region VIII - Eastern Visayas,Division of Leyte,Related-Teaching Personnel,Guidance Counselor II,Unfilled,Regular,2016,68
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Teacher I,Filled,Regular,1998,68
Region VII - Central Visayas,Division of Lapu-lapu City,Teaching Personnel,Teacher I,Unfilled,Regular,2026,68
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Teacher II,Filled,Regular,1998,68
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher III,Filled,Regular,2010,68
Region VII - Central Visayas,Division of Bohol,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2023,68
Region VII - Central Visayas,Division of Cebu City,Teaching Personnel,Teacher III,Filled,Regular,2026,68
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,68
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Filled,Regular,2006,68
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Teacher III,Filled,Regular,1998,68
Region II - Cagayan Valley,Division of Cagayan,Teaching Personnel,Master Teacher I,Filled,Regular,2022,68
Region IVA - CALABARZON,Division of Antipolo City,Teaching Personnel,Teacher I,Filled,Regular,2011,68
Cordillera Administrative Region (CAR),Division of Ifugao,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2026,68
National Capital Region (NCR),Division of Manila,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2020,68
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher III,Filled,Regular,2002,68
Cordillera Administrative Region (CAR),Division of Mt. Province,Teaching Personnel,Teacher III,Filled,Regular,2024,68
Cordillera Administrative Region (CAR),Division of Mt. Province,Teaching Personnel,Teacher I,Filled,Regular,1998,68
National Capital Region (NCR),Division of Caloocan,Teaching Personnel,Teacher I,Filled,Regular,2008,68
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Teacher I,Filled,Regular,2012,68
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Master Teacher I,Filled,Regular,2024,68
Region IVA - CALABARZON,Division of Biñan City,Teaching Personnel,Teacher II,Filled,Regular,1998,68
Region I - Ilocos,Division of Ilocos Sur,Teaching Personnel,Teacher II,Filled,Regular,1998,68
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher IV,Filled,Regular,2025,68
Region I - Ilocos,Division of La Union,Teaching Personnel,Teacher III,Filled,Regular,2013,68
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher III,Filled,Regular,2002,68
National Capital Region (NCR),Division of Malabon City,Teaching Personnel,Master Teacher I,Filled,Regular,1998,68
National Capital Region (NCR),Division of Las Piñas,Teaching Personnel,Teacher I,Filled,Regular,2016,68
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2022,68
Region III - Central Luzon,Division of Aurora,Teaching Personnel,Teacher III,Filled,Regular,2018,68
Negros Island Region (NIR),Division of Negros Oriental,Teaching Personnel,Teacher II,Filled,Regular,2022,68
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher III,Filled,Regular,2014,68
Region II - Cagayan Valley,Division of Quirino,Teaching Personnel,Teacher III,Filled,Regular,2010,68
Region IVA - CALABARZON,Division of Antipolo City,Teaching Personnel,Teacher I,Filled,Regular,2015,68
Cordillera Administrative Region (CAR),Division of Abra,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,68
National Capital Region (NCR),Division of Mandaluyong,Teaching Personnel,Teacher II,Filled,Regular,2023,68
National Capital Region (NCR),Division of Valenzuela,Teaching Personnel,Master Teacher I,Filled,Regular,1998,68
Region IVA - CALABARZON,Division of Bacoor City,Teaching Personnel,Teacher I,Filled,Regular,2017,68
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher III,Filled,Regular,2009,68
Negros Island Region (NIR),Division of Bacolod City,Teaching Personnel,Teacher III,Filled,Regular,2023,68
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher II,Filled,Regular,2019,67
National Capital Region (NCR),Division of Pasig City,Teaching Personnel,Teacher III,Filled,Regular,2016,67
National Capital Region (NCR),Division of Makati,Teaching Personnel,Teacher VI,Filled,Regular,2025,67
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher I,Unfilled,Regular,2012,67
Negros Island Region (NIR),Division of Bago City,Teaching Personnel,Teacher III,Filled,Regular,2022,67
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher II,Filled,Regular,2016,67
Region I - Ilocos,Division of Urdaneta City,Teaching Personnel,Teacher II,Filled,Regular,1998,67
Negros Island Region (NIR),Division of Bayawan City,Teaching Personnel,Teacher III,Filled,Regular,2019,67
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Teacher II,Filled,Regular,2022,67
Cordillera Administrative Region (CAR),Division of Mt. Province,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2026,67
Region I - Ilocos,Division of Pangasinan I,School Head Personnel,School Principal I,Filled,Regular,2025,67
Cordillera Administrative Region (CAR),Division of Mt. Province,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2022,67
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher I,Filled,Regular,2020,67
Region III - Central Luzon,Division of Aurora,Teaching Personnel,Teacher III,Filled,Regular,2021,67
National Capital Region (NCR),Division of Parañaque,Teaching Personnel,Teacher I,Filled,Regular,2024,67
Region III - Central Luzon,Division of Olongapo City,Teaching Personnel,Teacher IV,Filled,Regular,2025,67
Region IVA - CALABARZON,Division of Calamba City,Teaching Personnel,Teacher I,Filled,Regular,2025,67
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher III,Filled,Regular,2004,67
National Capital Region (NCR),Division of Malabon City,Teaching Personnel,Teacher III,Filled,Regular,2023,67
Region I - Ilocos,Division of Ilocos Norte,School Head Personnel,School Principal I,Filled,Regular,2010,67
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher III,Filled,Regular,2018,67
Region III - Central Luzon,Division of Tarlac,Teaching Personnel,Teacher III,Unfilled,Regular,1998,67
Region III - Central Luzon,Division of Aurora,Teaching Personnel,Teacher I,Filled,Regular,2025,67
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher IV,Filled,Regular,2026,67
Region IVA - CALABARZON,Division of Bacoor City,Teaching Personnel,Teacher II,Filled,Regular,2020,67
Region XIII - CARAGA,Division of Siargao,Teaching Personnel,Teacher III,Filled,Regular,2024,67
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher VI,Filled,Regular,2025,67
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher III,Filled,Regular,2014,67
Region XI - Davao,Division of Davao del Norte,Teaching Personnel,Teacher III,Filled,Regular,2016,67
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher III,Filled,Regular,2017,67
Region XIII - CARAGA,Division of Surigao del Norte,Teaching Personnel,Master Teacher I,Filled,Regular,1998,67
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher III,Filled,Regular,2024,67
Region IVA - CALABARZON,Division of Quezon,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2022,67
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Teaching Personnel,Teacher II,Filled,Regular,2021,67
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher I,Filled,Regular,2019,67
Region X - Northern Mindanao,Division of Tangub City,Teaching Personnel,Teacher III,Filled,Regular,2025,67
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Master Teacher II,Filled,Regular,2003,67
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Teacher I,Filled,Regular,2025,67
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher II,Filled,Regular,2017,67
Region VIII - Eastern Visayas,Division of Leyte,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,67
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher III,Filled,Regular,2024,67
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Filled,Regular,2008,67
Region VII - Central Visayas,Division of Bohol,Teaching Personnel,Teacher I,Filled,Regular,2020,67
Region VI - Western Visayas,Division of Aklan,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2024,67
Region IVA - CALABARZON,Division of Quezon,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2004,67
Region XI - Davao,Division of Davao City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,67
Region IVB - MIMAROPA,Division of Oriental Mindoro,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,67
Region VI - Western Visayas,Division of Aklan,Teaching Personnel,Teacher III,Filled,Regular,2022,67
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,67
Region IVA - CALABARZON,Division of Imus City,Teaching Personnel,Teacher I,Filled,Regular,2024,67
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher V,Filled,Regular,2025,67
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher I,Filled,Regular,2000,67
Region VII - Central Visayas,Division of Bohol,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,67
Region V - Bicol,Division of Sorsogon City,Teaching Personnel,Teacher III,Filled,Regular,2022,67
Region X - Northern Mindanao,Division of Misamis Oriental,Teaching Personnel,Teacher I,Filled,Regular,2021,67
Region VII - Central Visayas,Division of Naga City,Teaching Personnel,Teacher I,Filled,Regular,2024,66
Region VII - Central Visayas,Division of Talisay City,Teaching Personnel,Teacher I,Filled,Regular,2024,66
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher I,Filled,Regular,2009,66
Region VII - Central Visayas,Division of Carcar City,Teaching Personnel,Teacher III,Filled,Regular,2017,66
Region X - Northern Mindanao,Division of Cagayan de Oro City,Teaching Personnel,Teacher III,Filled,Regular,2023,66
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher II,Filled,Regular,2019,66
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Teacher I,Filled,Regular,2018,66
Region VIII - Eastern Visayas,Division of Leyte,Teaching Personnel,Teacher I,Filled,Regular,2021,66
Region VII - Central Visayas,Division of Cebu Province,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2014,66
Region VIII - Eastern Visayas,Division of Catbalogan City,Teaching Personnel,Teacher III,Filled,Regular,1998,66
Region VIII - Eastern Visayas,Division of Eastern Samar,School Head Personnel,School Principal I,Filled,Regular,2010,66
Region VII - Central Visayas,Division of Cebu Province,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,66
Region IVB - MIMAROPA,Division of Romblon,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2026,66
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher I,Filled,Regular,2002,66
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher III,Filled,Regular,2014,66
Region VII - Central Visayas,Division of Toledo City,Teaching Personnel,Teacher III,Filled,Regular,2017,66
Region IX - Zamboanga Peninsula,Division of Pagadian City,Teaching Personnel,Teacher III,Filled,Regular,2023,66
Region VIII - Eastern Visayas,Division of Eastern Samar,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2023,66
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Teacher VI,Filled,Regular,2026,66
Region V - Bicol,Division of Ligao City,Teaching Personnel,Teacher I,Filled,Regular,1998,66
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Teacher VI,Filled,Regular,2025,66
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Master Teacher I,Filled,Regular,2008,66
National Capital Region (NCR),Division of Makati,Teaching Personnel,Teacher III,Filled,Regular,2025,66
National Capital Region (NCR),Division of Parañaque,Teaching Personnel,Teacher I,Filled,Regular,2000,66
National Capital Region (NCR),Division of Marikina,Teaching Personnel,Teacher II,Filled,Regular,2025,66
National Capital Region (NCR),Division of Valenzuela,Teaching Personnel,Teacher III,Filled,Regular,2018,66
Negros Island Region (NIR),Division of Bais City,Teaching Personnel,Teacher I,Unfilled,Regular,2026,66
Cordillera Administrative Region (CAR),Division of Apayao,Teaching Personnel,Teacher V,Filled,Regular,2025,66
Negros Island Region (NIR),Division of Sagay City,Teaching Personnel,Teacher I,Unfilled,Regular,2026,66
National Capital Region (NCR),Division of Marikina,Teaching Personnel,Teacher III,Filled,Regular,2024,66
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher VI,Filled,Regular,2026,66
Cordillera Administrative Region (CAR),Division of Ifugao,Teaching Personnel,Teacher III,Filled,Regular,2016,66
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher III,Filled,Regular,2021,66
Negros Island Region (NIR),Division of Sagay City,Teaching Personnel,Teacher III,Filled,Regular,2021,66
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher II,Filled,Regular,2022,66
National Capital Region (NCR),Division of Makati,Teaching Personnel,Master Teacher I,Filled,Regular,1998,66
National Capital Region (NCR),Division of Valenzuela,Teaching Personnel,Teacher I,Unfilled,Regular,2026,66
Region I - Ilocos,Division of Ilocos Norte,Teaching Personnel,Teacher III,Filled,Regular,2019,66
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher I,Filled,Regular,2020,66
Region III - Central Luzon,Division of Tarlac City,Teaching Personnel,Teacher III,Filled,Regular,2026,66
Negros Island Region (NIR),Division of Silay City,Teaching Personnel,Teacher III,Filled,Regular,2026,66
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,66
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher I,Filled,Regular,2021,66
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher VI,Filled,Regular,2025,66
Region XI - Davao,Division of Davao de Oro,Teaching Personnel,Teacher III,Filled,Regular,2013,66
Region XII - SOCCSKSARGEN,Division of South Cotabato,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,66
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2014,66
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2011,66
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2011,66
Region XIII - CARAGA,Division of Siargao,Teaching Personnel,Teacher II,Filled,Regular,2017,66
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher VI,Filled,Regular,2025,66
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher I,Filled,Regular,2021,66
Region XII - SOCCSKSARGEN,Division of Sarangani,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,65
Region XI - Davao,Division of Davao del Sur,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2026,65
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Master Teacher II,Filled,Regular,2016,65
Region XI - Davao,Division of Mati City,Teaching Personnel,Teacher III,Filled,Regular,1998,65
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2006,65
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher I,Filled,Regular,2008,65
Region XI - Davao,Division of Tagum City,Teaching Personnel,Teacher I,Filled,Regular,2025,65
Region XI - Davao,Division of Davao Oriental,Teaching Personnel,Teacher I,Filled,Regular,2015,65
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher II,Filled,Regular,2020,65
Region XIII - CARAGA,Division of Surigao del Norte,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2022,65
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher III,Filled,Regular,2026,65
Region XIII - CARAGA,Division of Dinagat Island,Teaching Personnel,Teacher I,Filled,Regular,2012,65
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher I,Filled,Regular,2009,65
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher II,Filled,Regular,2007,65
